,State,District,City,Temple,Change
1286,Rajasthan, Sawai Madhopur , Hinduan,Rangrezoñ-kî-Masjid (1439), Temple site.
1287,Rajasthan, Sawai Madhopur , Hinduan,Masjid in the Takiyã of Khwãja Alî, Temple site.
1288,Rajasthan, Sawai Madhopur , Hinduan,Kachahrî Masjid (1659-60), Temple site.
1289,Rajasthan, Sawai Madhopur , Hinduan,Bãrã Khambã Masjid (1665), Temple site.
1290,Rajasthan, Sawai Madhopur , Hinduan,Graveyard east of the Talav, Temple site.
1291,Rajasthan, Sawai Madhopur , Hinduan,Masjid and Mazãr of Rasûl Shãh, Temple site.
1292,Rajasthan, Sawai Madhopur , Ranthambor,Qalã-kî-Masjid, Temple materials used.
1293,Rajasthan, Sikar ,Revasa,Masjid, Temple materials used.
1294,Rajasthan, Tonk ,Nagar,Ishãkhãn Bãolî, Temple materials used.
1295,Rajasthan, Udaipur ,Mandalgarh,Alãi Masjid, Converted Jain Temple.
1296,Tamil Nadu, Chingleput , Acharwak,Mazãr of Shãh Ahmad, Temple site.
1297,Tamil Nadu, Chingleput , Kanchipuram,Large Masjid, Temple site.
1298,Tamil Nadu, Chingleput , Kanchipuram,Eight other Masjids, Temple sites.
1299,Tamil Nadu, Chingleput , Kanchipuram,Gumbad of Babã Hamîd Walî, Temple site.
1300,Tamil Nadu, Chingleput , Karkatpala,Mazãr of Murãd Shãh Mastãn, Temple site.
1301,Tamil Nadu, Chingleput , Kovalam,Dargãh of Malik bin Dinãr (1593-94), Temple site.
1302,Tamil Nadu, Chingleput , Munropet,Masjid, Temple site.
1303,Tamil Nadu, Chingleput , Munropet,Mazãr of Shãh Alî Mastãn, Temple site.
1304,Tamil Nadu, Chingleput , Pallavaram,Hill of Panchapandyamalai renamed Maula Pahad and central hall of an ancient,
1305,Tamil Nadu, Chingleput , Pallavaram,Mazãr of Shykh Husain Qãdirî alias Bûdû ShahId, Temple site.
1306,Tamil Nadu, Chingleput , Pallavaram,"Poonmalle, Mîr Jumla’s Masjid (1653)", Temple materials used.
1307,Tamil Nadu, Chingleput , Rajkoilpetta,Mazãr of Hãji Umar, Temple site.
1308,Tamil Nadu, Chingleput , Rampur,Takiyã of the Tabqãtî order of Faqirs, Temple site.
1309,Tamil Nadu, Chingleput , Rayapeta,Walãjãhî Masjid, Temple site.
1310,Tamil Nadu, Chingleput , Walajahbad,Masjid, Temple site.
1311,Tamil Nadu, Coimbatore , Annamalai,Fort, Repaired by Tîpû Sultãn with temple materials.
1312,Tamil Nadu, Coimbatore , Coimbatore,Large Masjid of Tîpû Sultãn, Temple site.
1313,Tamil Nadu, Coimbatore , Sivasamudram,DargAh of Pîr Walî, Temple site.
1314,Tamil Nadu, Madura , Bonduvarapetta,Masjid, Temple materials used.
1315,Tamil Nadu, Madura , Devipatnam,Large Masjid, Temple site.
1316,Tamil Nadu, Madura , Goripalaiyam,Dargãh of Khwãja Alãu’d-Dîn, Temple site.
1317,Tamil Nadu, Madura , Madura,Dargãh of Khwãza Alãu’d-Dîn, Temple site.
1318,Tamil Nadu, Madura , Nimarpalli,Masjid, Temple materials used.
1319,Tamil Nadu, Madura , Nimarpalli,Dargãh of Makhdûm Jalãlu’d-Dîn, Temple materials used.
1320,Tamil Nadu, Madura , Puliygulam,Masjid, Temple site.
1321,Tamil Nadu, Madura , Soravandam,Masjid, Temple site.
1322,Tamil Nadu, Madura , Tiruparankunram,Sikandar Masjid on top of the Hill, Stands admist ruins of
1323,Tamil Nadu, Madura ,Brahmanical,Buddhist and Jain temples,
1324,Tamil Nadu, North Arcot , Arcot,A city of temples before its occupation by Muslims,
1325,Tamil Nadu, North Arcot , Arcot,Jãmi‘ Masjid, Temple site.
1326,Tamil Nadu, North Arcot , Arcot,Tomb of Sadatu’llah Khãn, Atreya Temple materials used.
1327,Tamil Nadu, North Arcot , Arcot,Masjid and Mazãr of Tîpû Awliyã, Temple site.
1328,Tamil Nadu, North Arcot , Arcot,Dargãh of Sayyid Husain Shãh, Temple site.
1329,Tamil Nadu, North Arcot , Arcot,Qalã-kî-Masjid, Temple site.
1330,Tamil Nadu, North Arcot , Arcot,Masjid of Shãh Husain Chishtî, Temple site.
1331,Tamil Nadu, North Arcot , Arcot,Masjid and Gumbad of Pãpã ShahId, Temple site.
1332,Tamil Nadu, North Arcot , Arcot,Gumbad of Shãh Sãdiq with a graveyard, Temple site.
1333,Tamil Nadu, North Arcot , Arcot,Masjid and Mazãr of Shãh Azmatu’llãh Qãdirî, Temple site.
1334,Tamil Nadu, North Arcot , Arcot,Masjid of Shykh Natthar, Temple site.
1335,Tamil Nadu, North Arcot , Arcot,Masjid of Murãd Shãh, Temple site.
1336,Tamil Nadu, North Arcot , Arcot,Masjid of Mîr Asadu’llãh Khãn, Temple site.
1337,Tamil Nadu, North Arcot , Arcot,Masjid of Maulawî Jamãl Alî, Temple site.
1338,Tamil Nadu, North Arcot , Arcot,Masjid and Gumbad of Sayyid Ahmad alias Yãr Pîr, Temple site.
1339,Tamil Nadu, North Arcot , Arcot,Masjid of Chandã Sãhib, Temple site.
1340,Tamil Nadu, North Arcot , Arcot,Masjid of Miskîn Shãh with Gumbad of Amîn Pîr, Temple site.
1341,Tamil Nadu, North Arcot , Arcot,Masjid and Mazãr of Hazrat Usmãn Khãn Sarwar, Temple site.
1342,Tamil Nadu, North Arcot , Arcot,Masjid in the Maqbara of Mughlãnî, Temple site.
1343,Tamil Nadu, North Arcot , Arcot,Masjid of GhulAm Rasûl Khãn, Temple site.
1344,Tamil Nadu, North Arcot , Arcot,Masjid of Shãh Ghulam Husain Dargãhi, Temple site.
1345,Tamil Nadu, North Arcot , Arcot,Masjid of Hãfiz Abdul Azîz, Temple site.
1346,Tamil Nadu, North Arcot , Arcot,Masjid of Hãfiz Karîmu’llãh, Temple site.
1347,Tamil Nadu, North Arcot , Arcot,Masjid and Gumbad in Tajpura, Temple site. Outside the city
1348,Tamil Nadu, North Arcot , Arcot,Takiyã of Qãtil Pãndû Sarguroh, Temple site.
1349,Tamil Nadu, North Arcot , Arcot,Masjid and Gumbad of Ahmad Tãhir Khãn, Temple site.
1350,Tamil Nadu, North Arcot , Arcot,"Masjid, Khãnqãh, Graveyard and Gumbad in Hasanpura", Temple site.
1351,Tamil Nadu, North Arcot , Arcot,Gumbad of Hazrat Antar Jãmi with the Idgãh, Temple site.
1352,Tamil Nadu, North Arcot , Arcot,"Takiyã, of Sãbit Alî Shãh", Temple site.
1353,Tamil Nadu, North Arcot , Arcot,Masjid and Mazãr of Sayyid KarIm Muhammad, Qãdirî. Temple site.
1354,Tamil Nadu, North Arcot , Arcot,Masjid of Sã‘datmand Khãn, Temple site.
1355,Tamil Nadu, North Arcot , Arcot,Masjid of Abu’l-Hasan Zãkir, Temple site.
1356,Tamil Nadu, North Arcot , Arcot,Masjid of Da‘ûd Beg, Temple site.
1357,Tamil Nadu, North Arcot , Arcot,Masjid and Gumbad of Hazrat Shãh Nãsir, Temple site.
1358,Tamil Nadu, North Arcot , Arcot,Masjid of Punjî, Temple site.
1359,Tamil Nadu, North Arcot , Arcot,Mazãr of Yadu’llãh Shãh, Temple site.
1360,Tamil Nadu, North Arcot , Arcot,Rangîn Masjid, Temple site.
1361,Tamil Nadu, North Arcot , Arcot,House of Relic which has a footprint of the Holy Prophet, Converted temple.
1362,Tamil Nadu, North Arcot , Arni,Two Masjids, Temple sites.
1363,Tamil Nadu, North Arcot , Arni,Dargãh of Seven Shahîds, Temple site.
1364,Tamil Nadu, North Arcot , Kare,Naulakh Gumbad, Converted Gautama and Višvamitra. Temple
1365,Tamil Nadu, North Arcot , Kaveripak,Idgãh, Temple site.
1366,Tamil Nadu, North Arcot , Kaveripak,Takiyã, Temple site.
1367,Tamil Nadu, North Arcot , Kaveripak,Three Masjids, Temple sites.
1368,Tamil Nadu, North Arcot , Nusratgarh,Many Masjids and Mazãrs in the ruined Fort, Temple sites.
1369,Tamil Nadu, North Arcot , Pirmalipak,Mazãr of Wãjid Shãh Champãr Posh, Temple site.
1370,Tamil Nadu, North Arcot , Ramna,Masjid of Kamtu Shãh, Temple site.
1371,Tamil Nadu, North Arcot , Ramna,Takiyã of Shãh Sãdiq Tabqãti, Temple site.
1372,Tamil Nadu, North Arcot , Vellore,Jãmi‘ Masjid, Temple site.
1373,Tamil Nadu, North Arcot , Vellore,ChhoTî Masjid, Temple site.
1374,Tamil Nadu, North Arcot , Vellore,Mazãr of Nûr Muhammad Qãdirî who “laid waste” many temples, Temple site.
1375,Tamil Nadu, North Arcot , Vellore,Mazãr of Shãh Abu’l-Hasan Qãdirî,
1376,Tamil Nadu, North Arcot , Vellore,Mazãr of Abdul Latîf Zauqî, Temple site.
1377,Tamil Nadu, North Arcot , Vellore,Mazãr of Alî Husainî Chishtî, Temple site.
1378,Tamil Nadu, North Arcot , Vellore,Mazãr of Hazrat Alî Sultãn, Temple site.
1379,Tamil Nadu, North Arcot , Vellore,Mazãr of Amîn Pîr, Temple site.
1380,Tamil Nadu, North Arcot , Vellore,Mazãr of Shah Lutfu’llah Qãdirî, Temple site.
1381,Tamil Nadu, North Arcot , Vellore,Mazãr of Sãhib Pãdshãh Qãdirî, Temple site.
1382,Tamil Nadu, North Arcot , Walajahnagar,Masjid and Mazãr of Pîr Sãhib on the Hill, Temple site.
1383,Tamil Nadu, North Arcot , Wali-Muhammad-Petta,Masjid, Temple site.
1384,Tamil Nadu, Ramanathapuram , Eruvadi,Dargãh of Hazrat Ibrãhîm Shahîd, Temple site.
1385,Tamil Nadu, Ramanathapuram , Eruvadi,Mazãr of Hazrat Fakhru’d-Dîn Shahîd alias Kãtbãbã Sãhib, Temple site.
1386,Tamil Nadu, Ramanathapuram , Kilakari,Jãmi‘ Masjid, Temple site.
1387,Tamil Nadu, Ramanathapuram , Kilakari,Dargãh of Muhammad Qãsim Appã, Temple site.
1388,Tamil Nadu, Ramanathapuram , Kilakari,Apparpallî Masjid, Temple site.
1389,Tamil Nadu, Ramanathapuram , Periyapattanam,Dargãh of Sayyid Sultãn Walî, Temple site.
1390,Tamil Nadu, Ramanathapuram , Valinokkam,Pallîvãsal Masjid (1417-18), Temple site.
1391,Tamil Nadu, Ramanathapuram , Valinokkam,Dargãh of Katupalli (1425), Temple site.
1392,Tamil Nadu, Ramanathapuram , Ramanathapuram,Old Masjid, Temple site.
1393,Tamil Nadu, Salem ,Sankaridurg,Masjid on the ascent to the Fort, Temple site.
1394,Tamil Nadu, South Arcot , Anandapur,Masjid, Temple site.
1395,Tamil Nadu, South Arcot , Chidambaram,Lãlkhãn Masjid, Temple materials used.
1396,Tamil Nadu, South Arcot , Chidambaram,Nawal Khãn Masjid, Temple materials used.
1397,Tamil Nadu, South Arcot , Chidambaram,Idgãh, Temple site.
1398,Tamil Nadu, South Arcot , Chidambaram,Mazãr of Amînu’d-Dîn Chishtî, Temple site.
1399,Tamil Nadu, South Arcot , Chidambaram,Mazãr of Sayyid Husain, Temple site.
1400,Tamil Nadu, South Arcot , Gingee,Masjid (1718), Temple site.
1401,Tamil Nadu, South Arcot , Gingee,Masjid (1732), Temple site.
1402,Tamil Nadu, South Arcot , Gingee,Masjid in the Fort, Temple site.
1403,Tamil Nadu, South Arcot , Kawripet,Mazãr of Qalandar Shãh, Temple site.
1404,Tamil Nadu, South Arcot , Manjakupham,Mazãr of Shãh Abdu’r-Rahîm, Temple site.
1405,Tamil Nadu, South Arcot , Mansurpeta,Itibãr Khãn-kî-Masjid, Temple site.
1406,Tamil Nadu, South Arcot , Nallikuppam,Masjid, Temple site.
1407,Tamil Nadu, South Arcot , Nallikuppam,Mazãr of Shykh Mîrãn Sãhib, Temple site.
1408,Tamil Nadu, South Arcot , Pannuti,Masjid, Temple site.
1409,Tamil Nadu, South Arcot , Pannuti,Gumbad of Nûr Muhammad Qãdirî, Temple site.
1410,Tamil Nadu, South Arcot , Swamiwaram,Masjid, Temple site.
1411,Tamil Nadu, South Arcot , Tarakambari,Masjid, Temple site.
1412,Tamil Nadu, South Arcot , Tarakambari,Mazãr of Shykh Ismãil Sãhib, Temple site.
1413,Tamil Nadu, South Arcot , Tirumalarayanapatnam,Mazãr of Abdul Qãdir Yamînî, Temple site.
1414,Tamil Nadu, South Arcot , Warachkuri,Mazãr of Shãh Jalãl Husainî, Temple site.
1415,Tamil Nadu, Thanjavur , Ammapettah,Masjid, Temple site.
1416,Tamil Nadu, Thanjavur , Ammapettah,Mazãr of Muînu’d-Dîn Husain Qãdirî, Temple site.
1417,Tamil Nadu, Thanjavur , Ammapettah,Mazãr of Shah Jãfar, Temple site.
1418,Tamil Nadu, Thanjavur , Ilyur,Masjid, Temple site.
1419,Tamil Nadu, Thanjavur , Ilyur,Mazãr of Inãyatu’llãh Dirwesh, Temple site.
1420,Tamil Nadu, Thanjavur , Ilyur,Mazãr of Muhammad Mastãn, Temple site.
1421,Tamil Nadu, Thanjavur , Ilyur,Mazãr of Mîrãn Husain, Temple site.
1422,Tamil Nadu, Thanjavur , Karambari,Mazãr of Arab Sãhib, Temple site.
1423,Tamil Nadu, Thanjavur , Karambari,Mazãr of Mubtalã Shãh, Temple site.
1424,Tamil Nadu, Thanjavur , Kurikyalpalayam,Masjid, Temple site.
1425,Tamil Nadu, Thanjavur , Kurikyalpalayam,Mazãr of Makhdûm Hãjî, Temple site.
1426,Tamil Nadu, Thanjavur , Kurikyalpalayam,Mazãr of Makhdûm Jahãn Shãh, Temple site.
1427,Tamil Nadu, Thanjavur , Kurkuti,Gumbad of Hasan Qãdirî alias Ghyb Sãhib, Temple site.
1428,Tamil Nadu, Thanjavur , Kushalpalayam,Mazãr of Hazrat Tãj Firãq Badanshãhî, Temple site.
1429,Tamil Nadu, Thanjavur , Kushalpalayam,Mazãr of Hidãyat Shãh Arzãnî, Temple site.
1430,Tamil Nadu, Thanjavur , Kushalpalayam,Mazãr of Yãr Shãh Husainshãhî, Temple site.
1431,Tamil Nadu, Thanjavur , Nagur,Masjid, Temple site.
1432,Tamil Nadu, Thanjavur , Nagur,Dargãh of Qãdir Walî Shãh, Temple site.
1433,Tamil Nadu, Thanjavur , Urancheri,Mazãr of Pîr Qutbu’d-Dîn, Temple site.
1434,Tamil Nadu, Thanjavur , Vijayapuram,GumbaD of Sultãn Makhdûm, Temple site.
1435,Tamil Nadu, Thanjavur , Wadayarkari,MazAr of Bãwã SAhib Shãhid, Temple site.
1436,Tamil Nadu, Tiruchirapalli , Puttur,Mazãr, Temple materials used.
1437,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Dargãh of NãtThãr Shãh Walî, Converted Šiva Temple. Lingam used as lamp-
1438,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Masjid-i-Muhammadî, Temple site.
1439,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Bãbã Muhiu’d-Dîn Sarmast, Temple site.
1440,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Hazrat Fathu’llãh Nûrî, Temple site.
1441,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Shams Parãn, Temple site.
1442,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Sayyid Abdul Wahhãb, Temple site.
1443,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Shãh Fazlu’llah Qãdirî, Temple site.
1444,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Shãh Nasîru’d-Dîn, Temple site.
1445,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Farîdu’d-Dîn Shahîd, Temple site.
1446,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Hazrat Chãnd Mastãn, Temple site.
1447,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Sayyid Zainu’l-Ãbidîn at Tinur, Temple site.
1448,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Sayyid Karîmu’d-Dîn Qãdirî, Temple site.
1449,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Alîmu’llãh Shãh Qãdirî called Barhana Shamsîr (Nãked Sword),
1450,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Shãh Imamu’d-Dîn Qãdirî, Temple site.
1451,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Kãkî- Shãh, Temple site.
1452,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Khwãja Aminu’d-Dîn Chistî, Temple site.
1453,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Khwãja Ahmad Shãh Husain Chishtî, Temple site.
1454,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Shãh Bhekã, Converted temple.
1455,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Shãh Jamãlu’d-Dîn Husain Chishtî, Temple site.
1456,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Qãyim Shãh who destroyed twelve temples, Temple site.
1457,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Munsif Shãh Suhrawardîyya, Temple site.
1458,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Itiffãq Shãh, Temple site.
1459,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Sayyid Jalãl Qãdirî, Temple site.
1460,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Mazãr of Mahtab Shah Shirãzî Suhrawardîyya, Temple site.
1461,Tamil Nadu, Tiruchirapalli , Tiruchirapalli,Masjid of Hãjî Ibrãhîm where NãTThãr Shãh Walî (see i above) stayed on his,
1462,Tamil Nadu, Tiruchirapalli , Valikondapuram,Masjid opposite the Fort, Converted temple.
1463,Tamil Nadu, Tiruchirapalli , Valikondapuram,Mazãr near the Masjid, Converted temple.
1464,Tamil Nadu, Tiruchirapalli , Valikondapuram,Sher Khãn-kî-Masjid (1690), Temple site.
1465,Tamil Nadu, Tiruchirapalli , Valikondapuram,Old Jãmi‘ Masjid, Temple site.
1466,Tamil Nadu, Tirunelvelli , Ambasamudram,Mazãr of Hazrat Rahmtu’llãh near the ruined Fort, Temple site.
1467,Tamil Nadu, Tirunelvelli , Kayalpattanam,Periyapallî Masjid (1336-37),
1468,Tamil Nadu, Tirunelvelli , Kayalpattanam,Sirupallî Masjid, Temple site.
1469,Tamil Nadu, Tirunelvelli , Kayalpattanam,Dargãh of Nainãr Muhammad, Temple site.
1470,Tamil Nadu, Tirunelvelli , Kayalpattanam,Marukudiyarapallî Masjid, Temple site.
1471,Tamil Nadu, Tirunelvelli , Tirunelvelli,Jãmi‘ Masjid, Temple materials used.
1472,Uttar Pradesh, Agra , Agra,Kalãn Masjid in Saban Katra (1521), Temple materials used.
1473,Uttar Pradesh, Agra , Agra,Humãyûn-kî-Masjid at Kachhpura (1537-38), Temple site.
1474,Uttar Pradesh, Agra , Agra,Jãmi‘ Masjid of Jahãnãrã (1644), Temple site.
1475,Uttar Pradesh, Agra , Agra,Dargãh of Kamãl Khãn Shahîd in Dehra Bagh, Temple material uses.
1476,Uttar Pradesh, Agra , Agra,Riverside part of the Fort of Akbar, Jain Temple sites.
1477,Uttar Pradesh, Agra , Agra,Chînî kã Rauzã, Temple site.
1478,Uttar Pradesh, Agra , Bisauli,Masjid (1667-68), Temple site.
1479,Uttar Pradesh, Agra , Fatehpur Sikri,Anbiyã Wãlî Masjid and several others in Nagar, Converted temples.
1480,Uttar Pradesh, Agra , Fatehpur Sikri,Jãmi‘ Masjid, Temple materials used.
1481,Uttar Pradesh, Agra , Fatehpur Sikri,Dargãh of Shykh Salîm Chishtî, Temple site.
1482,Uttar Pradesh, Agra , Fatehpur Sikri,Fatehpur Sikri Complex, Several temple sites.
1483,Uttar Pradesh, Agra , Firozabad,Qadîm Masjid, Temple site.
1484,Uttar Pradesh, Agra , Jajau,Masjid, Temple site.
1485,Uttar Pradesh, Agra , Rasulpur,Mazãr of Makhdûm Shah, Temple site.
1486,Uttar Pradesh, Agra , Sikandra,Maqbara of Akbar, Temple site.
1487,Uttar Pradesh, Agra , Sikandra,Masjid in the Mission Compound, Temple site.
1488,Uttar Pradesh, Aligarh District, Aligarh,Idgãh (1562-63), Temple site.
1489,Uttar Pradesh, Aligarh District, Aligarh,Dargãh of Shykh Jalãlu’d-Dîn Chishtî Shamsul-Arifîn, Temple site.
1490,Uttar Pradesh, Aligarh District, Aligarh,Graveyard with several Mazãrs, Temple site.
1491,Uttar Pradesh, Aligarh District, Aligarh,Shershãhî Masjid (1542), Temple site.
1492,Uttar Pradesh, Aligarh District, Aligarh,Masjid (1676), Temple site.
1493,Uttar Pradesh, Aligarh District, Pilkhana,Bãbarî or Jãmi‘ Masjid (1528-29), Temple: materials used.
1494,Uttar Pradesh, Aligarh District, Sikandara Rao,Jãmi‘ Masjid (1585), Temple site.
1495,Uttar Pradesh, Allahabad , Allahabad,Fort of Akbar, Temple sites.
1496,Uttar Pradesh, Allahabad , Allahabad,Khusru Bagh, Temple sites.
1497,Uttar Pradesh, Allahabad , Allahabad,Dargãh of Shãh Ajmal Khãn with a Graveyard, Temple site.
1498,Uttar Pradesh, Allahabad , Allahabad,Masjid (1641-22), Temple site.
1499,Uttar Pradesh, Allahabad , Allahabad,Gulabbari Graveyard, Temple site.
1500,Uttar Pradesh, Allahabad , Koh Inam,Jãmi‘ Masjid (1384), Temple site.
1501,Uttar Pradesh, Allahabad , Mauima,Qadîm Masjid, Temple site.
1502,Uttar Pradesh, Allahabad , Shahbazpur,Masjid (1644-45), Temple site.
1503,Uttar Pradesh, Azamgarh , Dohrighat,Kalãn Masjid, Temple site.
1504,Uttar Pradesh, Azamgarh , Ganjahar,Masjid (1687-88), Temple site.
1505,Uttar Pradesh, Azamgarh , Mehnagar,Tomb of Daulat or Abhimãn, Temple site.
1506,Uttar Pradesh, Azamgarh , Nizambad,Jãmi‘ Masjid, Temple site.
1507,Uttar Pradesh, Azamgarh , Nizambad,Mazãr of Miãn Maqbûl and Husain Khãn Shahîd (1562), Temple sites.
1508,Uttar Pradesh, Azamgarh , Qasba,Humãyûn’s Jãmi‘ Masjid (1533-34), Temple site.
1509,Uttar Pradesh, Badaun , Alapur,Ãlamgîrî Masjid, Temple materials used.
1510,Uttar Pradesh, Badaun , Badaun,Shamsî or Jãmi‘ Masjid (1233), Temple materials used.
1511,Uttar Pradesh, Badaun , Badaun,Shamsî Idgãh (1209), Temple materials used.
1512,Uttar Pradesh, Badaun , Badaun,Hauz-i-Shamsî (1203), Temple materials used.
1513,Uttar Pradesh, Badaun , Badaun,Dargãh of Shãh Wilãyat (1390), Temple site.
1514,Uttar Pradesh, Badaun , Badaun,Several other Masjids and Mazãrs, Temple sites.
1515,Uttar Pradesh, Badaun , Sahiswan,Jãmi‘ Masjid (1300), Temple site.
1516,Uttar Pradesh, Badaun , Ujhani,Abdullãh Khãn-kî-Masjid, Temple site.
1517,Uttar Pradesh, Ballia ,Kharid,Jãmi‘ Masjid, Temple site.
1518,Uttar Pradesh, Ballia ,Kharid,Dargãh of Ruknu’d-Dîn Shãh, Temple site.
1519,Uttar Pradesh, Banda , Augasi,Masjid (1581-82), Temple site.
1520,Uttar Pradesh, Banda , Badausa,Masjid (1692), Temple site.
1521,Uttar Pradesh, Banda , Kalinjar,Masjid in Patthar Mahalla (1412-13), Converted Lakshmî-NãrãyaNa Temple.
1522,Uttar Pradesh, Banda , Kalinjar,Masjid (1660-61), Temple site.
1523,Uttar Pradesh, Banda , Kalinjar,Several other Masjids and Mazãrs, Temple sites.
1524,Uttar Pradesh, Banda , Soron,Dargãh of Shykh Jamãl, Temple site.
1525,Uttar Pradesh, Bara Banki , Bhado Sarai,Mazãr of Malãmat Shãh, Temple site.
1526,Uttar Pradesh, Bara Banki , Dewa,Dargãh of Hãjî Wãris Alî Shãh, Temple site.
1527,Uttar Pradesh, Bara Banki , Dewa,Masjid (1665), Temple site.
1528,Uttar Pradesh, Bara Banki , Fatehpur,Masjid, Temple site.
1529,Uttar Pradesh, Bara Banki , Fatehpur,Imambãrã, Temple site.
1530,Uttar Pradesh, Bara Banki , Radauli,Masjid, Temple site.
1531,Uttar Pradesh, Bara Banki , Radauli,Dargãh of Shãh Ahmad and Zuhrã Bîbî, Temple site.
1532,Uttar Pradesh, Bara Banki , Rauza Gaon,Rauza of Da‘ûd Shãh, Temple site.
1533,Uttar Pradesh, Bara Banki , Sarai-Akbarabad,Masjid (1579-80), Temple site.
1534,Uttar Pradesh, Bara Banki , Satrikh,Dargãh of Sãlãr Sãhû Ghãzî, Temple site.
1535,Uttar Pradesh, Bareilly , Aonla,Begum-kî-Masjid, Temple site.
1536,Uttar Pradesh, Bareilly , Aonla,Maqbara of Alî Muhammad Rohilla, Temple site.
1537,Uttar Pradesh, Bareilly , Bareilly,Mirzai Masjid (1579-80), Temple site.
1538,Uttar Pradesh, Bareilly , Faridpur,Fort built by Shykh Farîd, Temple materials used.
1539,Uttar Pradesh, Bijnor , Barmih-ka-Khera,Masjid, Temple materials used.
1540,Uttar Pradesh, Bijnor , Jahanabad,Maqbara of Nawãb Shuja‘at Khãn, Temple site.
1541,Uttar Pradesh, Bijnor , Kiratpur,Fort with a Masjid inside, Temple materials used.
1542,Uttar Pradesh, Bijnor , Mandawar,Jãmi‘ Masjid, Temple materials used.
1543,Uttar Pradesh, Bijnor , Najibabad,Patthargarh Fort, Temple materials used.
1544,Uttar Pradesh, Bijnor , Nihtaur,Masjid, Temple site.
1545,Uttar Pradesh, Bijnor , Seohara,Masjid, Temple site.
1546,Uttar Pradesh, Bulandshahar , Aurangabad Sayyid,All Masjids stand on temple sites,
1547,Uttar Pradesh, Bulandshahar , Bulandshahar,Dargãh, Temple site.
1548,Uttar Pradesh, Bulandshahar , Bulandshahar,Fort, Materials of many temples used.
1549,Uttar Pradesh, Bulandshahar , Bulandshahar,Idgãh, Temple site.
1550,Uttar Pradesh, Bulandshahar , Bulandshahar,Masjid (1311), Temple site.
1551,Uttar Pradesh, Bulandshahar , Bulandshahar,Masjid (1538), Temple site.
1552,Uttar Pradesh, Bulandshahar , Bulandshahar,Masjid (1557), Temple site.
1553,Uttar Pradesh, Bulandshahar , Khurja,Mazãr of Makhdûm Sãhib, Temple site.
1554,Uttar Pradesh, Bulandshahar , Shikarpur,Several Masjids built in Sikandar Lodî’s reign, Temple sites.
1555,Uttar Pradesh, Bulandshahar , Sikandarabad,Several Masjids built in Sikandar Lodî’ a reign, Temple sites.
1556,Uttar Pradesh, Etah , Atranjikhera,Mazãr of Hazrat Husain (or Hasan), Temple site.
1557,Uttar Pradesh, Etah , Jalesar,Mazãr of Mîrãn Sayyid Ibrãhîm (1555), Temple site.
1558,Uttar Pradesh, Etah , Jalesar,Fort, Temple materials used.
1559,Uttar Pradesh, Etah , Kasganj,Jãmi‘ Masjid (1737-38), Temple site.
1560,Uttar Pradesh, Etah , Marahra,Masjid and Mazãr, Temple site.
1561,Uttar Pradesh, Etah , Sakit,Qadîm Masjid (1285), Temple materials used.
1562,Uttar Pradesh, Etah , Sakit,Akbarî Masjid (1563), Temple site.
1563,Uttar Pradesh, Etawah , Auraiya,Two Masjids, Temple sites.
1564,Uttar Pradesh, Etawah , Etawah,Jãmi‘ Masjid, Converted temple.
1565,Uttar Pradesh, Etawah , Phaphund,Masjid and Mazãr of Shãh Bukhãrî (d, 1549). Temple site.
1566,Uttar Pradesh, Farrukhabad , Farrukhabad,Several Masjids, Temple materials used.
1567,Uttar Pradesh, Farrukhabad , Kannauj,Dînã or Jãmi‘ Masjid (1406), Sîtã-kî-Rasoî. Temple materials used.
1568,Uttar Pradesh, Farrukhabad , Kannauj,Dargãh of Makhdûm Jahãniãn, Temple materials used.
